Date,NAV,MDD
2024-07-02,109.89,0
2024-07-03,110.5,0
2024-07-04,110.62,0
2024-07-05,110.73,0
2024-07-06,110.73,0
2024-07-07,110.73,0
2024-07-08,111.2,0
2024-07-09,111.31,0
2024-07-10,111.41,0
2024-07-11,111.66,0
2024-07-12,111.17,0
2024-07-13,111.17,0
2024-07-14,111.17,0
2024-07-15,111.61,0
2024-07-16,111.92,0
2024-07-17,111.72,0
2024-07-18,111.25,-0.01
2024-07-19,110.88,-0.01
2024-07-20,110.88,-0.01
2024-07-21,110.88,-0.01
2024-07-22,110.55,-0.01
2024-07-23,110.79,-0.01
2024-07-24,110.48,-0.01
2024-07-25,109.5,-0.02
2024-07-26,109.3,-0.02
2024-07-27,109.3,-0.02
2024-07-28,109.3,-0.02
2024-07-29,109.81,-0.02
2024-07-30,109.69,-0.02
2024-07-31,109.54,-0.02
2024-08-01,110.09,-0.02
2024-08-02,108.54,-0.03
2024-08-03,108.54,-0.03
2024-08-04,108.54,-0.03
2024-08-05,106.53,-0.05
2024-08-06,107.67,-0.04
2024-08-07,107.72,-0.04
2024-08-08,107.27,-0.04
2024-08-09,107.98,-0.04
2024-08-10,107.98,-0.04
2024-08-11,107.98,-0.04
2024-08-12,108.42,-0.03
2024-08-13,108.61,-0.03
2024-08-14,109.26,-0.02
2024-08-15,109.26,-0.02
2024-08-16,110.21,-0.02
2024-08-17,110.21,-0.02
2024-08-18,110.21,-0.02
2024-08-19,109.49,-0.02
2024-08-20,110.11,-0.02
2024-08-21,110.09,-0.02
2024-08-22,110.26,-0.01
2024-08-23,109.95,-0.02
2024-08-24,109.95,-0.02
2024-08-25,109.95,-0.02
2024-08-26,110.07,-0.02
2024-08-27,109.84,-0.02
2024-08-28,110.12,-0.02
2024-08-29,109.52,-0.02
2024-08-30,109.82,-0.02
2024-08-31,109.82,-0.02
2024-09-01,109.82,-0.02
2024-09-02,110.16,-0.02
2024-09-03,110.19,-0.02
2024-09-04,108.8,-0.03
2024-09-05,108.92,-0.03
2024-09-06,108.55,-0.03
2024-09-07,108.55,-0.03
2024-09-08,108.55,-0.03
2024-09-09,108.33,-0.03
2024-09-10,108.77,-0.03
2024-09-11,108.89,-0.03
2024-09-12,109.8,-0.02
2024-09-13,109.87,-0.02
2024-09-14,109.87,-0.02
2024-09-15,109.87,-0.02
2024-09-16,109.87,-0.02
2024-09-17,109.87,-0.02
2024-09-18,109.87,-0.02
2024-09-19,110.6,-0.01
2024-09-20,111.08,-0.01
2024-09-21,111.08,-0.01
2024-09-22,111.08,-0.01
2024-09-23,111.36,0
2024-09-24,111.37,0
2024-09-25,111.3,-0.01
2024-09-26,111.75,0
2024-09-27,111.27,-0.01
2024-09-28,111.27,-0.01
2024-09-29,111.27,-0.01
2024-09-30,110.68,-0.01
2024-10-01,110.68,-0.01
2024-10-02,110.63,-0.01
2024-10-03,110.63,-0.01
2024-10-04,111.3,-0.01
2024-10-05,111.3,-0.01
2024-10-06,111.3,-0.01
2024-10-07,111.98,0
2024-10-08,111.56,0
2024-10-09,111.56,0
2024-10-10,112.4,0
2024-10-11,112.36,0
2024-10-12,112.36,0
2024-10-13,112.36,0
2024-10-14,112.83,0
2024-10-15,113.36,0
2024-10-16,113.01,0
2024-10-17,113.38,0
2024-10-18,113.49,0
2024-10-19,113.49,0
2024-10-20,113.49,0
2024-10-21,113.84,0
2024-10-22,113.81,0
2024-10-23,113.97,0
2024-10-24,113.58,0
2024-10-25,113.95,0
2024-10-26,113.95,0
2024-10-27,113.95,0
2024-10-28,114.16,0
2024-10-29,114.17,0
2024-10-30,114.48,0
2024-10-31,113.72,-0.01
2024-11-01,112.96,-0.01
2024-11-02,112.96,-0.01
2024-11-03,112.96,-0.01
2024-11-04,112.86,-0.01
2024-11-05,112.99,-0.01
2024-11-06,114.66,0
2024-11-07,115.31,0
2024-11-08,115.59,0
2024-11-09,115.59,0
2024-11-10,115.59,0
2024-11-11,116,0
2024-11-12,116.07,0
2024-11-13,115.81,0
2024-11-14,115.64,0
2024-11-15,114.95,-0.01
2024-11-16,114.95,-0.01
2024-11-17,114.95,-0.01
2024-11-18,114.55,-0.01
2024-11-19,114.7,-0.01
2024-11-20,115.01,-0.01
2024-11-21,115.09,-0.01
2024-11-22,115.5,0
2024-11-23,115.5,0
2024-11-24,115.5,0
2024-11-25,115.78,0
2024-11-26,115.87,0
2024-11-27,115.78,0
2024-11-28,115.73,0
2024-11-29,115.82,0
2024-11-30,115.82,0
2024-12-01,115.82,0
2024-12-02,116.1,0
2024-12-03,116.39,0
2024-12-04,116.97,0
2024-12-05,117.51,0
2024-12-06,117.54,0
2024-12-07,117.54,0
2024-12-08,117.54,0
2024-12-09,118.41,0
2024-12-10,117.8,-0.01
2024-12-11,117.98,0
2024-12-12,118.53,0
2024-12-13,118.3,0
