,NAV,MDD
2024-10-28,116.52,0
2024-10-29,117.2,0
2024-10-30,117.01,0
2024-10-31,115.43,-0.02
2024-11-01,115.55,-0.01
2024-11-02,115.55,-0.01
2024-11-03,115.55,-0.01
2024-11-04,115.55,-0.01
2024-11-05,116.22,-0.01
2024-11-06,116.55,-0.01
2024-11-07,117.78,0
2024-11-08,117.74,0
2024-11-09,117.74,0
2024-11-10,117.74,0
2024-11-11,117.07,-0.01
2024-11-12,116.65,-0.01
2024-11-13,116.36,-0.01
2024-11-14,115.94,-0.02
2024-11-15,114.86,-0.02
2024-11-16,114.86,-0.02
2024-11-17,114.86,-0.02
2024-11-18,115.67,-0.02
2024-11-19,116.24,-0.01
2024-11-20,116.35,-0.01
2024-11-21,116.76,-0.01
2024-11-22,117.2,0
2024-11-23,117.2,0
2024-11-24,117.2,0
2024-11-25,116.71,-0.01
2024-11-26,116.99,-0.01
2024-11-27,116.77,-0.01
2024-11-28,116.77,-0.01
2024-11-29,117.49,0
2024-11-30,117.49,0
2024-12-01,117.49,0
2024-12-02,117.69,0
2024-12-03,117.83,0
2024-12-04,118.52,0
2024-12-05,118.2,0
2024-12-06,118.63,0
2024-12-07,118.63,0
2024-12-08,118.63,0
2024-12-09,118.46,0
2024-12-10,118.61,0
