,NAV,MDD
2024-08-07,105.9,-0.04
2024-08-08,107.08,-0.03
2024-08-09,107.28,-0.03
2024-08-10,107.28,-0.03
2024-08-11,107.28,-0.03
2024-08-12,107.56,-0.02
2024-08-13,108.38,-0.02
2024-08-14,108.37,-0.02
2024-08-15,109.2,-0.01
2024-08-16,109.61,-0.01
2024-08-17,109.61,-0.01
2024-08-18,109.61,-0.01
2024-08-19,110.05,0
2024-08-20,110.01,0
2024-08-21,110.21,0
2024-08-22,109.56,-0.01
2024-08-23,110.21,0
2024-08-24,110.21,0
2024-08-25,110.21,0
2024-08-26,109.96,0
2024-08-27,110.1,0
2024-08-28,109.67,-0.01
2024-08-29,109.72,0
2024-08-30,110.05,0
2024-08-31,110.05,0
2024-09-01,110.05,0
2024-09-02,110.05,0
2024-09-03,108.99,-0.01
2024-09-04,108.99,-0.01
2024-09-05,109.16,-0.01
2024-09-06,108.27,-0.02
2024-09-07,108.27,-0.02
2024-09-08,108.27,-0.02
2024-09-09,108.78,-0.01
2024-09-10,109.06,-0.01
2024-09-11,109.68,0
2024-09-12,110.26,0
2024-09-13,110.63,0
2024-09-14,110.63,0
2024-09-15,110.63,0
2024-09-16,110.6,0
2024-09-17,110.56,0
2024-09-18,110.36,0
2024-09-19,111.41,0
2024-09-20,111.55,0
2024-09-21,111.55,0
2024-09-22,111.55,0
2024-09-23,111.62,0
2024-09-24,111.96,0
2024-09-25,111.93,0
2024-09-26,112.25,0
2024-09-27,112.06,0
2024-09-28,112.06,0
2024-09-29,112.06,0
2024-09-30,112.07,0
2024-10-01,111.75,0
2024-10-02,111.8,0
2024-10-03,111.71,0
2024-10-04,112.06,0
2024-10-05,112.06,0
2024-10-06,112.06,0
2024-10-07,111.57,-0.01
2024-10-08,111.99,0
2024-10-09,112.19,0
2024-10-10,112.23,0
2024-10-11,112.55,0
2024-10-12,112.55,0
2024-10-13,112.55,0
2024-10-14,112.84,0
2024-10-15,112.48,0
2024-10-16,112.63,0
2024-10-17,112.71,0
2024-10-18,113.11,0
2024-10-19,113.11,0
2024-10-20,113.11,0
2024-10-21,113.07,0
2024-10-22,113.2,0
2024-10-23,112.49,-0.01
2024-10-24,112.87,0
2024-10-25,113.04,0
2024-10-26,113.04,0
2024-10-27,113.04,0
2024-10-28,113.13,0
2024-10-29,113.55,0
2024-10-30,113.37,0
2024-10-31,112.26,-0.01
2024-11-01,112.44,-0.01
2024-11-02,112.44,-0.01
2024-11-03,112.44,-0.01
2024-11-04,112.44,-0.01
2024-11-05,112.98,-0.01
2024-11-06,113.58,0
2024-11-07,114.38,0
2024-11-08,114.43,0
2024-11-09,114.43,0
2024-11-10,114.43,0
2024-11-11,114.09,0
2024-11-12,113.81,-0.01
2024-11-13,113.68,-0.01
2024-11-14,113.34,-0.01
2024-11-15,112.57,-0.02
2024-11-16,112.57,-0.02
2024-11-17,112.57,-0.02
2024-11-18,113.07,-0.01
2024-11-19,113.45,-0.01
2024-11-20,113.51,-0.01
2024-11-21,113.79,-0.01
2024-11-22,114.04,0
2024-11-23,114.04,0
2024-11-24,114.04,0
2024-11-25,113.82,-0.01
2024-11-26,114.01,0
2024-11-27,113.87,0
2024-11-28,113.87,0
2024-11-29,114.34,0
2024-11-30,114.34,0
2024-12-01,114.34,0
2024-12-02,114.53,0
2024-12-03,114.64,0
2024-12-04,115.13,0
2024-12-05,114.93,0
2024-12-06,115.24,0
2024-12-07,115.24,0
2024-12-08,115.24,0
2024-12-09,115.07,0
2024-12-10,115.14,0
