Date,NAV,MDD
2024-06-08,112.22,-0.01
2024-06-09,112.22,-0.01
2024-06-10,112.71,0
2024-06-11,112.94,0
2024-06-12,114.43,0
2024-06-13,115.18,0
2024-06-14,115.39,0
2024-06-15,115.39,0
2024-06-16,115.39,0
2024-06-17,116.05,0
2024-06-18,116.83,0
2024-06-19,116.83,0
2024-06-20,115.72,-0.01
2024-06-21,115.24,-0.01
2024-06-22,115.24,-0.01
2024-06-23,115.24,-0.01
2024-06-24,114.08,-0.02
2024-06-25,114.94,-0.02
2024-06-26,114.68,-0.02
2024-06-27,114.69,-0.02
2024-06-28,114.59,-0.02
2024-06-29,114.59,-0.02
2024-06-30,114.59,-0.02
2024-07-01,114.47,-0.02
2024-07-02,115.18,-0.01
2024-07-03,116.37,0
2024-07-04,116.37,0
2024-07-05,116.84,0
2024-07-06,116.84,0
2024-07-07,116.84,0
2024-07-08,117.39,0
2024-07-09,117.38,0
2024-07-10,118.51,0
2024-07-11,117.32,-0.01
2024-07-12,118.1,0
2024-07-13,118.1,0
2024-07-14,118.1,0
2024-07-15,117.95,0
2024-07-16,118.4,0
2024-07-17,115.52,-0.03
2024-07-18,115.14,-0.03
2024-07-19,113.88,-0.04
2024-07-20,113.88,-0.04
2024-07-21,113.88,-0.04
2024-07-22,115.39,-0.03
2024-07-23,115.04,-0.03
2024-07-24,112.31,-0.05
2024-07-25,111.77,-0.06
2024-07-26,112.88,-0.05
2024-07-27,112.88,-0.05
2024-07-28,112.88,-0.05
2024-07-29,112.73,-0.05
2024-07-30,111.54,-0.06
2024-07-31,114.63,-0.03
2024-08-01,112.22,-0.05
2024-08-02,110.55,-0.07
2024-08-03,110.55,-0.07
2024-08-04,110.55,-0.07
2024-08-05,108.71,-0.08
2024-08-06,109.26,-0.08
2024-08-07,108.29,-0.09
2024-08-08,110.69,-0.07
2024-08-09,111.05,-0.06
2024-08-10,111.05,-0.06
2024-08-11,111.05,-0.06
2024-08-12,111.4,-0.06
2024-08-13,113.37,-0.04
2024-08-14,113.56,-0.04
2024-08-15,115.22,-0.03
2024-08-16,115.5,-0.03
2024-08-17,115.5,-0.03
2024-08-18,115.5,-0.03
2024-08-19,116.53,-0.02
2024-08-20,116.2,-0.02
2024-08-21,116.77,-0.01
2024-08-22,115.21,-0.03
2024-08-23,116.61,-0.02
2024-08-24,116.61,-0.02
2024-08-25,116.61,-0.02
2024-08-26,115.75,-0.02
2024-08-27,116.04,-0.02
2024-08-28,115.23,-0.03
2024-08-29,114.89,-0.03
2024-08-30,115.8,-0.02
2024-08-31,115.8,-0.02
2024-09-01,115.8,-0.02
2024-09-02,115.8,-0.02
2024-09-03,112.99,-0.05
2024-09-04,113.12,-0.05
2024-09-05,113.1,-0.05
2024-09-06,111.33,-0.06
2024-09-07,111.33,-0.06
2024-09-08,111.33,-0.06
2024-09-09,112.4,-0.05
2024-09-10,112.98,-0.05
2024-09-11,114.75,-0.03
2024-09-12,115.15,-0.03
2024-09-13,115.83,-0.02
2024-09-14,115.83,-0.02
2024-09-15,115.83,-0.02
2024-09-16,115.71,-0.02
2024-09-17,115.64,-0.02
2024-09-18,115.02,-0.03
2024-09-19,116.98,-0.01
2024-09-20,116.56,-0.02
2024-09-21,116.56,-0.02
2024-09-22,116.56,-0.02
2024-09-23,116.82,-0.01
2024-09-24,117.68,-0.01
2024-09-25,117.59,-0.01
2024-09-26,118.73,0
2024-09-27,118.26,0
2024-09-28,118.26,0
2024-09-29,118.26,0
2024-09-30,117.99,-0.01
2024-10-01,116.98,-0.01
2024-10-02,117.44,-0.01
2024-10-03,117.32,-0.01
2024-10-04,117.83,-0.01
2024-10-05,117.83,-0.01
2024-10-06,117.83,-0.01
2024-10-07,117.36,-0.01
2024-10-08,118.12,-0.01
2024-10-09,118.58,0
2024-10-10,118.54,0
2024-10-11,119.08,0
2024-10-12,119.08,0
2024-10-13,119.08,0
2024-10-14,119.82,0
2024-10-15,117.96,-0.02
2024-10-16,118.26,-0.01
2024-10-17,118.54,-0.01
2024-10-18,118.83,-0.01
2024-10-19,118.83,-0.01
2024-10-20,118.83,-0.01
2024-10-21,118.55,-0.01
2024-10-22,118.29,-0.01
2024-10-23,117.44,-0.02
2024-10-24,117.76,-0.02
2024-10-25,118.01,-0.02
2024-10-26,118.01,-0.02
2024-10-27,118.01,-0.02
2024-10-28,117.86,-0.02
2024-10-29,118.65,-0.01
2024-10-30,117.73,-0.02
2024-10-31,115.84,-0.03
2024-11-01,116.22,-0.03
2024-11-02,116.22,-0.03
2024-11-03,116.22,-0.03
2024-11-04,116.3,-0.03
2024-11-05,117.4,-0.02
2024-11-06,118.87,-0.01
2024-11-07,120.53,0
2024-11-08,120.46,0
2024-11-09,120.46,0
2024-11-10,120.46,0
2024-11-11,119.78,-0.01
2024-11-12,119.13,-0.01
2024-11-13,118.64,-0.02
2024-11-14,118.32,-0.02
2024-11-15,116.75,-0.03
2024-11-16,116.75,-0.03
2024-11-17,116.75,-0.03
2024-11-18,117.22,-0.03
2024-11-19,117.84,-0.02
2024-11-20,117.64,-0.02
2024-11-21,118.39,-0.02
2024-11-22,118.48,-0.02
2024-11-23,118.48,-0.02
2024-11-24,118.48,-0.02
2024-11-25,118.98,-0.01
2024-11-26,118.82,-0.01
2024-11-27,118.38,-0.02
2024-11-28,118.38,-0.02
2024-11-29,119.29,-0.01
2024-11-30,119.29,-0.01
2024-12-01,119.29,-0.01
2024-12-02,120.07,0
2024-12-03,120.11,0
2024-12-04,121.23,0
2024-12-05,120.67,0
2024-12-06,121.11,0
2024-12-07,121.11,0
2024-12-08,121.11,0
2024-12-09,120.48,-0.01
